#Identifier	Prediction	Probability	anchor position
FGRAMPH1_01T26797	Non-effector	1	 S-843
FGRAMPH1_01T05255	Effector	0.998	 D-130
FGRAMPH1_01T04305	Non-effector	0.996	 N-179
FGRAMPH1_01T04423	Non-effector	1	 S-288
FGRAMPH1_01T19283	Non-effector	1	 G-51
FGRAMPH1_01T22671	Effector	0.615	 N-190
FGRAMPH1_01T27943	Non-effector	0.77	 N-143
FGRAMPH1_01T25657	Effector	0.992	 C-254
FGRAMPH1_01T22861	Non-effector	1	 S-361
FGRAMPH1_01T00037	Non-effector	1	 C-710
FGRAMPH1_01T10749	Non-effector	1	 D-827
FGRAMPH1_01T21261	Non-effector	1	 N-1176
FGRAMPH1_01T18759	Non-effector	1	 E-1642
FGRAMPH1_01T04317	Effector	0.921	 T-211
FGRAMPH1_01T11565	Non-effector	1	
FGRAMPH1_01T15505	Non-effector	1	
FGRAMPH1_01T22241	Non-effector	1	
FGRAMPH1_01T21293	Non-effector	1	
FGRAMPH1_01T21749	Non-effector	1	
FGRAMPH1_01T18997	Non-effector	0.999	
FGRAMPH1_01T00225	Non-effector	1	
FGRAMPH1_01T07289	Non-effector	1	
FGRAMPH1_01T05915	Non-effector	1	
FGRAMPH1_01T12809	Non-effector	0.999	
FGRAMPH1_01T21561	Non-effector	1	
FGRAMPH1_01T25645	Non-effector	0.552	
FGRAMPH1_01T21109	Non-effector	1	
FGRAMPH1_01T27453	Non-effector	0.866	
FGRAMPH1_01T23737	Non-effector	0.993	
FGRAMPH1_01T21223	Non-effector	1	
FGRAMPH1_01T28003	Effector	1	
FGRAMPH1_01T05873	Non-effector	1	
FGRAMPH1_01T22261	Non-effector	1	
FGRAMPH1_01T19051	Non-effector	0.997	
FGRAMPH1_01T20941	Non-effector	1	
FGRAMPH1_01T21463	Non-effector	1	
FGRAMPH1_01T14159	Non-effector	1	
FGRAMPH1_01T15481	Non-effector	0.998	
FGRAMPH1_01T22341	Non-effector	0.661	
FGRAMPH1_01T08981	Non-effector	1	
FGRAMPH1_01T16501	Non-effector	1	
FGRAMPH1_01T21547	Non-effector	1	
FGRAMPH1_01T22141	Non-effector	1	
FGRAMPH1_01T04103	Non-effector	1	
FGRAMPH1_01T12989	Non-effector	1	
FGRAMPH1_01T14149	Non-effector	1	
FGRAMPH1_01T27287	Effector	0.99	
FGRAMPH1_01T28213	Effector	0.988	
FGRAMPH1_01T27867	Effector	0.581	
FGRAMPH1_01T11649	Non-effector	1	
FGRAMPH1_01T13859	Non-effector	1	
FGRAMPH1_01T27945	Non-effector	1	
FGRAMPH1_01T11815	Non-effector	1	
FGRAMPH1_01T00789	Non-effector	1	
FGRAMPH1_01T04265	Effector	0.836	
FGRAMPH1_01T11545	Non-effector	1	
FGRAMPH1_01T12585	Non-effector	1	
FGRAMPH1_01T21389	Non-effector	1	
FGRAMPH1_01T22309	Non-effector	1	
FGRAMPH1_01T25979	Non-effector	1	
FGRAMPH1_01T27731	Non-effector	1	
FGRAMPH1_01T08521	Non-effector	1	
FGRAMPH1_01T08931	Effector	0.866	
FGRAMPH1_01T13253	Effector	0.97	
FGRAMPH1_01T21215	Non-effector	1	
FGRAMPH1_01T22277	Non-effector	1	
FGRAMPH1_01T25381	Non-effector	1	
FGRAMPH1_01T26199	Non-effector	0.999	
FGRAMPH1_01T21301	Non-effector	1	
FGRAMPH1_01T03903	Non-effector	1	
FGRAMPH1_01T12941	Effector	0.869	
FGRAMPH1_01T05241	Non-effector	1	
FGRAMPH1_01T07125	Non-effector	1	
FGRAMPH1_01T08635	Non-effector	1	
FGRAMPH1_01T19107	Non-effector	0.981	
FGRAMPH1_01T00061	Non-effector	0.541	
FGRAMPH1_01T08399	Effector	0.98	
FGRAMPH1_01T04043	Effector	0.738	
FGRAMPH1_01T13737	Non-effector	1	
FGRAMPH1_01T01965	Effector	0.982	
FGRAMPH1_01T13307	Non-effector	1	
FGRAMPH1_01T12869	Non-effector	1	
FGRAMPH1_01T00115	Non-effector	1	
FGRAMPH1_01T13187	Non-effector	1	
FGRAMPH1_01T19219	Non-effector	1	
FGRAMPH1_01T21347	Non-effector	1	
FGRAMPH1_01T11705	Non-effector	1	
FGRAMPH1_01T05573	Non-effector	1	
FGRAMPH1_01T12115	Effector	0.99	
FGRAMPH1_01T05735	Effector	1	
FGRAMPH1_01T17837	Non-effector	1	
FGRAMPH1_01T27903	Non-effector	1	
FGRAMPH1_01T13301	Non-effector	1	
FGRAMPH1_01T20947	Non-effector	1	
FGRAMPH1_01T25271	Non-effector	1	
FGRAMPH1_01T14481	Non-effector	1	
FGRAMPH1_01T25079	Non-effector	1	
FGRAMPH1_01T08371	Effector	1	
FGRAMPH1_01T05657	Non-effector	1	
FGRAMPH1_01T10769	Non-effector	1	
FGRAMPH1_01T16533	Non-effector	1	
FGRAMPH1_01T12329	Non-effector	1	
FGRAMPH1_01T20809	Effector	1	
FGRAMPH1_01T24315	Non-effector	1	
FGRAMPH1_01T26599	Non-effector	1	
FGRAMPH1_01T27125	Non-effector	1	
FGRAMPH1_01T00071	Non-effector	1	
FGRAMPH1_01T21681	Non-effector	0.55	
FGRAMPH1_01T01075	Non-effector	1	
FGRAMPH1_01T05619	Non-effector	1	
FGRAMPH1_01T09329	Non-effector	1	
FGRAMPH1_01T10129	Non-effector	1	
FGRAMPH1_01T11667	Non-effector	1	
FGRAMPH1_01T16471	Non-effector	1	
FGRAMPH1_01T16717	Non-effector	1	
FGRAMPH1_01T22149	Non-effector	1	
FGRAMPH1_01T00607	Non-effector	1	
FGRAMPH1_01T12135	Non-effector	0.999	
FGRAMPH1_01T14479	Non-effector	0.876	
FGRAMPH1_01T21107	Effector	1	
FGRAMPH1_01T21371	Non-effector	0.999	
FGRAMPH1_01T23427	Non-effector	1	
FGRAMPH1_01T12267	Non-effector	1	
FGRAMPH1_01T12595	Non-effector	1	
FGRAMPH1_01T05275	Non-effector	0.989	
FGRAMPH1_01T06119	Non-effector	1	
FGRAMPH1_01T07907	Non-effector	1	
FGRAMPH1_01T12753	Non-effector	1	
FGRAMPH1_01T12339	Non-effector	1	
FGRAMPH1_01T13903	Non-effector	1	
FGRAMPH1_01T20207	Non-effector	0.981	
FGRAMPH1_01T26885	Non-effector	1	
FGRAMPH1_01T12479	Non-effector	1	
FGRAMPH1_01T12113	Non-effector	0.999	
FGRAMPH1_01T13185	Non-effector	1	
FGRAMPH1_01T13769	Non-effector	1	
FGRAMPH1_01T15983	Non-effector	1	
FGRAMPH1_01T25323	Non-effector	1	
FGRAMPH1_01T13515	Non-effector	1	
FGRAMPH1_01T15321	Effector	0.823	
FGRAMPH1_01T22715	Non-effector	1	
FGRAMPH1_01T25787	Non-effector	1	
FGRAMPH1_01T00319	Effector	0.983	
FGRAMPH1_01T02589	Effector	0.726	
FGRAMPH1_01T13999	Non-effector	1	
FGRAMPH1_01T04109	Effector	1	
FGRAMPH1_01T08911	Non-effector	1	
FGRAMPH1_01T09233	Non-effector	1	
FGRAMPH1_01T09923	Non-effector	1	
FGRAMPH1_01T11555	Non-effector	1	
FGRAMPH1_01T16385	Non-effector	1	
FGRAMPH1_01T22451	Non-effector	1	
FGRAMPH1_01T27303	Non-effector	1	
FGRAMPH1_01T14129	Non-effector	0.999	
FGRAMPH1_01T16965	Non-effector	1	
FGRAMPH1_01T18917	Non-effector	1	
FGRAMPH1_01T23717	Non-effector	1	
FGRAMPH1_01T12293	Non-effector	0.975	
FGRAMPH1_01T22073	Effector	0.979	
FGRAMPH1_01T16203	Non-effector	1	
FGRAMPH1_01T25479	Effector	1	
FGRAMPH1_01T06375	Non-effector	1	
FGRAMPH1_01T11787	Non-effector	1	
FGRAMPH1_01T04321	Non-effector	0.997	
FGRAMPH1_01T05753	Non-effector	1	
FGRAMPH1_01T07541	Effector	0.993	
FGRAMPH1_01T12741	Non-effector	0.972	
FGRAMPH1_01T13297	Non-effector	1	
FGRAMPH1_01T22463	Non-effector	1	
FGRAMPH1_01T25367	Non-effector	1	
FGRAMPH1_01T09079	Effector	0.999	
FGRAMPH1_01T11693	Non-effector	0.597	
FGRAMPH1_01T19713	Non-effector	1	
FGRAMPH1_01T22761	Effector	0.999	
FGRAMPH1_01T25683	Non-effector	0.98	
FGRAMPH1_01T04863	Non-effector	1	
FGRAMPH1_01T05649	Non-effector	1	
FGRAMPH1_01T15271	Non-effector	1	
FGRAMPH1_01T15589	Non-effector	1	
FGRAMPH1_01T19233	Non-effector	1	
FGRAMPH1_01T03959	Non-effector	0.994	
FGRAMPH1_01T04425	Non-effector	1	
FGRAMPH1_01T05079	Non-effector	1	
FGRAMPH1_01T09453	Non-effector	1	
FGRAMPH1_01T12131	Effector	0.973	
FGRAMPH1_01T13787	Effector	0.986	
FGRAMPH1_01T20975	Non-effector	1	
FGRAMPH1_01T23157	Non-effector	1	
FGRAMPH1_01T08677	Non-effector	1	
FGRAMPH1_01T00231	Effector	0.977	
FGRAMPH1_01T15791	Non-effector	0.892	
FGRAMPH1_01T05475	Non-effector	1	
FGRAMPH1_01T16217	Effector	1	
FGRAMPH1_01T01843	Non-effector	1	
FGRAMPH1_01T19137	Non-effector	1	
FGRAMPH1_01T21069	Non-effector	1	
FGRAMPH1_01T26737	Effector	0.995	
FGRAMPH1_01T27463	Non-effector	1	
FGRAMPH1_01T27883	Non-effector	1	
FGRAMPH1_01T00361	Non-effector	1	
FGRAMPH1_01T04811	Non-effector	1	
FGRAMPH1_01T08839	Effector	0.994	
FGRAMPH1_01T12481	Non-effector	1	
FGRAMPH1_01T14565	Effector	0.72	
FGRAMPH1_01T22209	Non-effector	0.916	
FGRAMPH1_01T22215	Non-effector	0.74	
FGRAMPH1_01T22617	Non-effector	1	
FGRAMPH1_01T23565	Effector	0.99	
FGRAMPH1_01T25053	Non-effector	1	
FGRAMPH1_01T19453	Non-effector	1	
FGRAMPH1_01T21377	Non-effector	1	
FGRAMPH1_01T21671	Non-effector	1	
FGRAMPH1_01T16641	Non-effector	1	
FGRAMPH1_01T05315	Non-effector	1	
FGRAMPH1_01T05441	Non-effector	1	
FGRAMPH1_01T05671	Non-effector	1	
FGRAMPH1_01T10027	Non-effector	1	
FGRAMPH1_01T12793	Non-effector	1	
FGRAMPH1_01T15319	Non-effector	1	
FGRAMPH1_01T24231	Non-effector	1	
FGRAMPH1_01T03739	Non-effector	1	
FGRAMPH1_01T03929	Non-effector	1	
FGRAMPH1_01T04075	Effector	1	
FGRAMPH1_01T07037	Non-effector	1	
FGRAMPH1_01T15867	Non-effector	1	
FGRAMPH1_01T28085	Non-effector	0.999	
FGRAMPH1_01T27847	Non-effector	1	
FGRAMPH1_01T00323	Effector	0.981	
FGRAMPH1_01T16205	Effector	0.807	
FGRAMPH1_01T08257	Non-effector	1	
FGRAMPH1_01T08691	Non-effector	1	
FGRAMPH1_01T08877	Non-effector	1	
FGRAMPH1_01T11691	Non-effector	1	
FGRAMPH1_01T12027	Non-effector	1	
FGRAMPH1_01T14145	Non-effector	1	
FGRAMPH1_01T16011	Non-effector	1	
FGRAMPH1_01T20919	Non-effector	1	
FGRAMPH1_01T21161	Non-effector	1	
FGRAMPH1_01T22039	Non-effector	0.995	
FGRAMPH1_01T25485	Non-effector	1	
FGRAMPH1_01T00095	Effector	0.772	
FGRAMPH1_01T04205	Non-effector	0.998	
FGRAMPH1_01T05311	Non-effector	0.995	
FGRAMPH1_01T05623	Non-effector	1	
FGRAMPH1_01T13095	Non-effector	0.998	
FGRAMPH1_01T14001	Non-effector	1	
FGRAMPH1_01T14291	Non-effector	0.95	
FGRAMPH1_01T18893	Effector	1	
FGRAMPH1_01T21081	Effector	0.792	
FGRAMPH1_01T25207	Non-effector	0.978	
FGRAMPH1_01T08243	Non-effector	1	
FGRAMPH1_01T05443	Non-effector	1	
FGRAMPH1_01T15517	Non-effector	1	
FGRAMPH1_01T00109	Effector	0.997	
FGRAMPH1_01T00173	Effector	0.999	
FGRAMPH1_01T12655	Non-effector	1	
FGRAMPH1_01T18591	Non-effector	1	
FGRAMPH1_01T18871	Non-effector	1	
FGRAMPH1_01T22097	Non-effector	1	
FGRAMPH1_01T24163	Non-effector	1	
FGRAMPH1_01T25405	Non-effector	1	
FGRAMPH1_01T25573	Effector	0.997	
FGRAMPH1_01T01877	Non-effector	1	
FGRAMPH1_01T04949	Non-effector	0.944	
FGRAMPH1_01T11717	Effector	0.901	
FGRAMPH1_01T12563	Non-effector	1	
FGRAMPH1_01T18695	Non-effector	0.992	
FGRAMPH1_01T21423	Non-effector	1	
FGRAMPH1_01T21769	Effector	0.934	
FGRAMPH1_01T27003	Non-effector	1	
FGRAMPH1_01T28081	Non-effector	1	
FGRAMPH1_01T22045	Non-effector	1	
FGRAMPH1_01T05643	Non-effector	1	
FGRAMPH1_01T00317	Effector	0.957	
FGRAMPH1_01T00291	Non-effector	1	
FGRAMPH1_01T12287	Effector	0.968	
FGRAMPH1_01T01619	Non-effector	1	
FGRAMPH1_01T11563	Non-effector	1	
FGRAMPH1_01T11655	Effector	0.999	
FGRAMPH1_01T12621	Non-effector	1	
FGRAMPH1_01T13293	Non-effector	0.979	
FGRAMPH1_01T14277	Non-effector	1	
FGRAMPH1_01T21247	Non-effector	1	
FGRAMPH1_01T25503	Non-effector	0.991	
FGRAMPH1_01T02483	Non-effector	1	
FGRAMPH1_01T09385	Non-effector	1	
FGRAMPH1_01T11845	Non-effector	1	
FGRAMPH1_01T12345	Non-effector	1	
FGRAMPH1_01T13099	Non-effector	1	
FGRAMPH1_01T14187	Non-effector	1	
FGRAMPH1_01T16033	Effector	0.515	
FGRAMPH1_01T16793	Non-effector	1	
FGRAMPH1_01T17449	Non-effector	1	
FGRAMPH1_01T17671	Effector	0.848	
FGRAMPH1_01T22711	Non-effector	1	
FGRAMPH1_01T23443	Non-effector	1	
FGRAMPH1_01T08761	Non-effector	1	
FGRAMPH1_01T13789	Effector	1	
FGRAMPH1_01T09151	Non-effector	1	
FGRAMPH1_01T21531	Effector	0.99	
FGRAMPH1_01T13955	Non-effector	1	
FGRAMPH1_01T21763	Non-effector	1	
FGRAMPH1_01T06693	Non-effector	1	
FGRAMPH1_01T08511	Non-effector	1	
FGRAMPH1_01T08749	Non-effector	1	
FGRAMPH1_01T11935	Non-effector	1	
FGRAMPH1_01T12011	Effector	1	
FGRAMPH1_01T12323	Non-effector	1	
FGRAMPH1_01T13089	Non-effector	0.774	
FGRAMPH1_01T15065	Non-effector	1	
FGRAMPH1_01T15455	Non-effector	1	
FGRAMPH1_01T15555	Non-effector	1	
FGRAMPH1_01T16147	Non-effector	1	
FGRAMPH1_01T16213	Non-effector	1	
FGRAMPH1_01T21077	Non-effector	1	
FGRAMPH1_01T21443	Non-effector	1	
FGRAMPH1_01T21721	Non-effector	1	
FGRAMPH1_01T21939	Non-effector	1	
FGRAMPH1_01T02019	Non-effector	1	
FGRAMPH1_01T04469	Non-effector	1	
FGRAMPH1_01T09093	Effector	0.998	
FGRAMPH1_01T19337	Non-effector	1	
FGRAMPH1_01T25385	Non-effector	1	
FGRAMPH1_01T13281	Effector	0.999	
FGRAMPH1_01T00287	Non-effector	1	
FGRAMPH1_01T08419	Non-effector	1	
FGRAMPH1_01T27827	Non-effector	1	
FGRAMPH1_01T07871	Non-effector	1	
FGRAMPH1_01T09087	Effector	0.906	
FGRAMPH1_01T14157	Non-effector	1	
FGRAMPH1_01T14815	Effector	0.999	
FGRAMPH1_01T15633	Effector	0.967	
FGRAMPH1_01T16047	Non-effector	0.946	
FGRAMPH1_01T16207	Non-effector	0.588	
FGRAMPH1_01T16273	Non-effector	0.992	
FGRAMPH1_01T18707	Non-effector	1	
FGRAMPH1_01T19835	Non-effector	1	
FGRAMPH1_01T20807	Non-effector	0.993	
FGRAMPH1_01T21469	Non-effector	0.999	
FGRAMPH1_01T22349	Non-effector	1	
FGRAMPH1_01T00105	Non-effector	0.703	
FGRAMPH1_01T03917	Non-effector	1	
FGRAMPH1_01T05723	Non-effector	0.603	
FGRAMPH1_01T13597	Non-effector	1	
FGRAMPH1_01T15725	Effector	1	
FGRAMPH1_01T17263	Non-effector	1	
FGRAMPH1_01T20215	Non-effector	1	
FGRAMPH1_01T24817	Non-effector	1	
FGRAMPH1_01T13993	Non-effector	1	
FGRAMPH1_01T13219	Non-effector	1	
FGRAMPH1_01T05141	Non-effector	1	
FGRAMPH1_01T11613	Non-effector	1	
FGRAMPH1_01T13667	Non-effector	1	
FGRAMPH1_01T17683	Non-effector	1	
FGRAMPH1_01T21623	Non-effector	1	
FGRAMPH1_01T00699	Effector	0.998	
FGRAMPH1_01T02121	Effector	0.512	
FGRAMPH1_01T05087	Effector	1	
FGRAMPH1_01T05605	Non-effector	1	
FGRAMPH1_01T06435	Non-effector	0.992	
FGRAMPH1_01T08955	Non-effector	1	
FGRAMPH1_01T09571	Non-effector	0.909	
FGRAMPH1_01T16187	Non-effector	1	
FGRAMPH1_01T16233	Non-effector	1	
FGRAMPH1_01T18367	Non-effector	1	
FGRAMPH1_01T26041	Non-effector	1	
FGRAMPH1_01T27993	Non-effector	1	
FGRAMPH1_01T05531	Effector	1	
FGRAMPH1_01T08665	Effector	0.952	
FGRAMPH1_01T12085	Non-effector	0.668	
FGRAMPH1_01T04781	Non-effector	0.911	
FGRAMPH1_01T13049	Non-effector	1	
FGRAMPH1_01T21871	Non-effector	0.895	
FGRAMPH1_01T05447	Non-effector	1	
FGRAMPH1_01T08489	Non-effector	1	
FGRAMPH1_01T12051	Non-effector	1	
FGRAMPH1_01T12099	Effector	0.999	
FGRAMPH1_01T12877	Effector	0.665	
FGRAMPH1_01T13259	Non-effector	1	
FGRAMPH1_01T13527	Non-effector	1	
FGRAMPH1_01T16055	Non-effector	0.85	
FGRAMPH1_01T21209	Effector	1	
FGRAMPH1_01T21537	Non-effector	1	
FGRAMPH1_01T25637	Non-effector	1	
FGRAMPH1_01T08385	Effector	0.98	
FGRAMPH1_01T08995	Non-effector	1	
FGRAMPH1_01T12255	Effector	0.868	
FGRAMPH1_01T13221	Effector	0.999	
FGRAMPH1_01T13225	Effector	0.999	
FGRAMPH1_01T13439	Effector	0.669	
FGRAMPH1_01T16469	Effector	0.861	
FGRAMPH1_01T18907	Non-effector	1	
FGRAMPH1_01T20377	Effector	0.816	
FGRAMPH1_01T22439	Non-effector	1	
FGRAMPH1_01T25985	Effector	0.575	
FGRAMPH1_01T26193	Non-effector	1	
FGRAMPH1_01T21813	Non-effector	1	
FGRAMPH1_01T11601	Effector	0.999	
FGRAMPH1_01T15803	Non-effector	1	
FGRAMPH1_01T00645	Non-effector	1	
FGRAMPH1_01T08507	Effector	0.995	
FGRAMPH1_01T11567	Non-effector	1	
FGRAMPH1_01T11849	Effector	0.977	
FGRAMPH1_01T16231	Effector	0.504	
FGRAMPH1_01T16453	Non-effector	1	
FGRAMPH1_01T22197	Non-effector	1	
FGRAMPH1_01T25403	Non-effector	1	
FGRAMPH1_01T27223	Non-effector	1	
FGRAMPH1_01T02149	Effector	0.997	
FGRAMPH1_01T04165	Non-effector	1	
FGRAMPH1_01T04395	Effector	0.925	
FGRAMPH1_01T13329	Non-effector	1	
FGRAMPH1_01T13979	Non-effector	0.839	
FGRAMPH1_01T17249	Non-effector	1	
FGRAMPH1_01T21009	Non-effector	0.999	
FGRAMPH1_01T21105	Non-effector	0.839	
FGRAMPH1_01T25089	Non-effector	1	
FGRAMPH1_01T26021	Non-effector	1	
FGRAMPH1_01T15759	Non-effector	1	
FGRAMPH1_01T03827	Non-effector	1	
FGRAMPH1_01T27851	Effector	0.945	
FGRAMPH1_01T12037	Non-effector	1	
FGRAMPH1_01T00051	Non-effector	0.698	
FGRAMPH1_01T08099	Non-effector	1	
FGRAMPH1_01T04327	Non-effector	1	
FGRAMPH1_01T04401	Non-effector	1	
FGRAMPH1_01T08793	Effector	0.841	
FGRAMPH1_01T09337	Non-effector	1	
FGRAMPH1_01T13331	Non-effector	1	
FGRAMPH1_01T13553	Non-effector	1	
FGRAMPH1_01T13847	Non-effector	1	
FGRAMPH1_01T20857	Non-effector	1	
FGRAMPH1_01T21387	Non-effector	1	
FGRAMPH1_01T25417	Effector	0.967	
FGRAMPH1_01T03177	Non-effector	1	
FGRAMPH1_01T04787	Non-effector	1	
FGRAMPH1_01T08039	Effector	0.771	
FGRAMPH1_01T09901	Non-effector	1	
FGRAMPH1_01T11437	Non-effector	1	
FGRAMPH1_01T11753	Non-effector	1	
FGRAMPH1_01T22335	Non-effector	1	
FGRAMPH1_01T28189	Effector	0.996	
FGRAMPH1_01T08759	Non-effector	1	
FGRAMPH1_01T09297	Effector	0.995	
FGRAMPH1_01T15463	Non-effector	1	
FGRAMPH1_01T15909	Effector	0.887	
FGRAMPH1_01T16493	Non-effector	0.999	
FGRAMPH1_01T15371	Non-effector	1	
FGRAMPH1_01T21967	Non-effector	1	
FGRAMPH1_01T22289	Non-effector	1	
FGRAMPH1_01T22979	Effector	1	
FGRAMPH1_01T27829	Non-effector	1	
FGRAMPH1_01T04967	Non-effector	1	
FGRAMPH1_01T06409	Effector	0.986	
FGRAMPH1_01T11607	Non-effector	1	
FGRAMPH1_01T13725	Non-effector	1	
FGRAMPH1_01T16585	Effector	0.998	
FGRAMPH1_01T18725	Non-effector	0.541	
FGRAMPH1_01T19189	Non-effector	1	
FGRAMPH1_01T20949	Non-effector	1	
FGRAMPH1_01T15975	Non-effector	0.913	
FGRAMPH1_01T14175	Non-effector	0.998	
FGRAMPH1_01T08331	Non-effector	1	
FGRAMPH1_01T16247	Non-effector	1	
FGRAMPH1_01T16515	Effector	1	
FGRAMPH1_01T25115	Non-effector	1	
FGRAMPH1_01T25395	Non-effector	1	
FGRAMPH1_01T00201	Effector	0.999	
FGRAMPH1_01T01791	Non-effector	1	
FGRAMPH1_01T08865	Non-effector	1	
FGRAMPH1_01T14013	Effector	0.947	
FGRAMPH1_01T15135	Non-effector	1	
FGRAMPH1_01T21117	Effector	0.545	
FGRAMPH1_01T21737	Non-effector	1	
FGRAMPH1_01T21843	Non-effector	1	
FGRAMPH1_01T22561	Non-effector	1	
FGRAMPH1_01T26465	Effector	0.999	
FGRAMPH1_01T28269	Non-effector	0.991	
FGRAMPH1_01T08415	Non-effector	1	
FGRAMPH1_01T11987	Non-effector	1	
FGRAMPH1_01T14089	Non-effector	1	
FGRAMPH1_01T15901	Non-effector	1	
FGRAMPH1_01T16387	Non-effector	0.999	
FGRAMPH1_01T21173	Effector	0.997	
FGRAMPH1_01T21473	Non-effector	1	
FGRAMPH1_01T21485	Non-effector	1	
FGRAMPH1_01T21541	Effector	0.664	
FGRAMPH1_01T22307	Non-effector	1	
FGRAMPH1_01T23035	Non-effector	1	
FGRAMPH1_01T05783	Non-effector	1	
FGRAMPH1_01T06653	Effector	0.999	
FGRAMPH1_01T07995	Non-effector	1	
FGRAMPH1_01T13437	Non-effector	1	
FGRAMPH1_01T14851	Non-effector	1	
FGRAMPH1_01T17933	Non-effector	1	
FGRAMPH1_01T20455	Non-effector	1	
FGRAMPH1_01T24041	Effector	0.988	
FGRAMPH1_01T00063	Effector	0.943	
FGRAMPH1_01T21803	Non-effector	1	
FGRAMPH1_01T05601	Non-effector	1	
